stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min),PR_norm,Degree_norm,Distance_norm,Routes_norm,Accessibility,LMCI,Betweenness_norm,PageRank_norm,Trips_norm,LMCI Category
Rajeev Nagar (Signature Bridge),28.705225,77.251437,35,35,0.0012619888944977,0.0001495569066108,0.0002236225129716,"Rajeev Nagar (Wazirabad Road) (143 m), Rajeev Nagar (Signature Bridge) (271 m), Khajuri (283 m), Khajuri (297 m), Nanaksar Gurudwara Crossing (402 m)",Shyam Park,Red Line,1809.5,21.71,0.10361719588216899,0.1600000000000038,0.10522050456228371,0.10240963855421688,0.8947794954377163,0.334,0.0012693732650950298,0.10361719588216899,0.10240963855421688,Poor
Khajuri,28.704817,77.256617,103,103,0.0030287733467945,0.0245426737240509,0.0005798217091174,"Khajuri (109 m), Khajuri Circle (113 m), Khajuri Pusta (176 m), Khajuri (216 m), Khajuri (230 m)",Shyam Park,Red Line,1335.61,16.03,0.30725220832766065,0.44000000000000256,0.07765074385819569,0.30722891566265065,0.9223492561418043,0.497,0.208307423476829,0.30725220832766065,0.30722891566265065,Poor
Bhajanpura,28.703658,77.26329,89,89,0.0020191822311963,0.0063050715307162,0.0003781673007813,"Bhajan Pura (10 m), Bhajanpura (53 m), Bhajanpura (68 m), Bhajanpura (76 m), Chand Bagh (150 m)",Shyam Park,Red Line,738.02,8.86,0.1919686860863537,0.27999999999999875,0.04288441981853257,0.26506024096385544,0.9571155801814675,0.425,0.05351467489516115,0.1919686860863537,0.26506024096385544,Poor
B-Block Yamuna Vihar,28.70311,77.270665,99,99,0.0022715800100959,0.0048342289168955,0.0002914172152006,"B-Block Yamuna Vihar (74 m), B-Block Yamuna Vihar (94 m), Yamuna Vihar Brijpuri (306 m), Yamuna Vihar Brij Puri (441 m), Yamuna Vihar Cluster Depot (510 m)",Shyam Park,Red Line,523.14,6.28,0.1423746528936384,0.3200000000000076,0.03038322717869119,0.29518072289156627,0.9696167728213088,0.425,0.04103080949932751,0.1423746528936384,0.29518072289156627,Poor
Yamuna Vihar Brij Puri,28.702743,77.275161,48,48,0.0012619888944977,0.0002945117253251,0.0002131379001405,"Yamuna Vihar Brijpuri (140 m), C 4 Yamuna Vihar (317 m), C 4 Yamuna Vihar (328 m), C 4 Yamuna Vihar (335 m), C 4 Yamuna Vihar (342 m)",Shyam Park,Red Line,786.46,9.44,0.09762326246668399,0.1600000000000038,0.045702540497394806,0.14156626506024098,0.9542974595026052,0.356,0.002499686031602476,0.09762326246668399,0.14156626506024098,Poor
C 4 Yamuna Vihar,28.702421,77.278568,103,103,0.0035335689045936,0.0078767410389426,0.0006138644490287,"C 4 Yamuna Vihar (8 m), C 4 Yamuna Vihar (27 m), C 4 Yamuna Vihar (30 m), c block gokul puri (303 m), Yamuna Vihar Brij Puri (335 m)",Gokulpuri,Pink Line,738.5,8.86,0.3267140539481057,0.5200000000000045,0.04291234504408694,0.30722891566265065,0.9570876549559131,0.503,0.0668543146384425,0.3267140539481057,0.30722891566265065,Moderate
Gokul Puri,28.702083,77.2828,43,43,0.0012619888944977,0.000359372306147,0.0002243346191577,"C 4 Yamuna Vihar Crossing (43 m), Gokul Puri (50 m), c block gokul puri (115 m), C4 Yamuna Vihar Crossing (180 m), C4 Yamuna Vihar Crossing (193 m)",Gokulpuri,Pink Line,327.83,3.93,0.10402429885611737,0.1600000000000038,0.019020569255722923,0.12650602409638553,0.9809794307442771,0.364,0.003050194123268968,0.10402429885611737,0.12650602409638553,Poor
B R Ambedkar College (Loni Road Xing),28.701534,77.288114,62,62,0.0022715800100959,0.0020529911866954,0.0004579790135528,"B R Ambedkar College (Loni Road Xing) (38 m), B R Ambedkar College (Loni Road Xing) (48 m), MIG Flats Loni Road (402 m), MIG Flats Loni Road (422 m), MIG Flats Loni Road (438 m)",Gokulpuri,Pink Line,220.56,2.65,0.2375961307840894,0.3200000000000076,0.01277986311985274,0.18373493975903615,0.9872201368801473,0.434,0.01742488651927407,0.2375961307840894,0.18373493975903615,Poor
MIG Flates Loni Road,28.700716,77.295277,72,72,0.0010095911155981,2.4614883890750585e-05,0.0001829452756116,"MIG Flates Loni Road (38 m), MIG Flats Loni Road (64 m), Ashok Nagar / Meet Nagar (262 m), Ashok Nagar / Meet Nagar (265 m), Ashok Nagar / Meet Nagar (266 m)",Gokulpuri,Pink Line,915.29,10.98,0.08036248383991812,0.11999999999999496,0.053197554681082275,0.21385542168674698,0.9468024453189178,0.354,0.0002089203116219093,0.08036248383991812,0.21385542168674698,Poor
Ashok Nagar / Meet Nagar,28.700269,77.297937,79,79,0.0015143866733972,0.0005379009769832,0.0004232637789597,"Ashok Nagar / Meet Nagar (20 m), Ashok Nagar / Meet Nagar (23 m), MIG Flats Loni Road (210 m), MIG Flates Loni Road (231 m), MIG Flates Loni Road (265 m)",Gokulpuri,Pink Line,1179.83,14.16,0.21774982763431902,0.19999999999999685,0.06858784461473659,0.23493975903614459,0.9314121553852635,0.4,0.004565466984603063,0.21774982763431902,0.23493975903614459,Poor
