stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops
Balak Ram Hospital,28.70539,77.223156,65,65,0.0017667844522968198,0.0023561857126809258,0.00023889778114554846,"Balak Ram Hospital (2 m), Balak Ram Hospital (52 m), Police Station Timarpur (193 m), Police Station Timarpur (195 m), CGHC Dispensary (212 m)"
Police Station Timarpur,28.706947,77.224038,64,64,0.0012619888944977284,0.0029648170152167396,0.00019522670900034664,"Police Station Timarpur (14 m), Police Station Timarpur (67 m), Balak Ram Hospital (191 m), Balak Ram Hospital (193 m), Balak Ram Hospital (243 m)"
Nehru Vihar Crossing,28.709086,77.22626,35,35,0.0017667844522968198,0.004290229031984283,0.0003937617668445607,"Wazirabad Crossing Nehru Vihar Crossing (34 m), Nehru Vihar Xing (35 m), Wazirabad Crossing GT Road (188 m), Police Station Timarpur (256 m), Wazirabad Crossing GT Road (300 m)"
Wazirabad Crossing,28.711529,77.228752,46,46,0.001514386673397274,0.0017430283584196462,0.00035376897476163037,"Wazirabad Crossing (58 m), Wazirabad Crossing GT Road (181 m), Wazirabad Crossing GT Road (235 m), Nehru Vihar Crossing (364 m), Wazirabad Crossing Nehru Vihar Crossing (397 m)"
Gurudwara NanakSar,28.708955,77.242031,39,39,0.0012619888944977284,0.0004916961477854037,0.00039312157767098724,"Gurudwara Nanak Sar (156 m), Gurudwara Nanak Sar (179 m), Gurudwara Nanak Sar Crossing (Signature Bridge) (628 m), Nanaksar Gurudwara Crossing (616 m), Gurudwara Nanak Sar Crossing (Signature Bridge) (671 m)"
Rajeev Nagar (Signature Bridge),28.705225,77.251437,35,35,0.0012619888944977284,0.00014955690661086398,0.00022362251297165163,"Rajeev Nagar (Wazirabad Road) (143 m), Rajeev Nagar (Signature Bridge) (271 m), Khajuri (283 m), Khajuri (297 m), Nanaksar Gurudwara Crossing (402 m)"
Khajuri,28.704817,77.256617,103,103,0.003028773346794548,0.02454267372405095,0.0005798217091174055,"Khajuri (109 m), Khajuri Circle (113 m), Khajuri Pusta (176 m), Khajuri (216 m), Khajuri (230 m)"
Bhajanpura,28.703658,77.26329,89,89,0.0020191822311963654,0.006305071530716225,0.0003781673007813237,"Bhajan Pura (10 m), Bhajanpura (53 m), Bhajanpura (68 m), Bhajanpura (76 m), Chand Bagh (150 m)"
B-Block Yamuna Vihar,28.70311,77.270665,99,99,0.002271580010095911,0.004834228916895506,0.00029141721520065626,"B-Block Yamuna Vihar (74 m), B-Block Yamuna Vihar (94 m), Yamuna Vihar Brijpuri (306 m), Yamuna Vihar Brij Puri (441 m), Yamuna Vihar Cluster Depot (510 m)"
Yamuna Vihar Brij Puri,28.702743,77.275161,48,48,0.0012619888944977284,0.000294511725325127,0.00021313790014059413,"Yamuna Vihar Brijpuri (140 m), C 4 Yamuna Vihar (317 m), C 4 Yamuna Vihar (328 m), C 4 Yamuna Vihar (335 m), C 4 Yamuna Vihar (342 m)"
C 4 Yamuna Vihar,28.702421,77.278568,103,103,0.0035335689045936395,0.00787674103894261,0.0006138644490287499,"C 4 Yamuna Vihar (8 m), C 4 Yamuna Vihar (27 m), C 4 Yamuna Vihar (30 m), c block gokul puri (303 m), Yamuna Vihar Brij Puri (335 m)"
Gokul Puri,28.702083,77.2828,43,43,0.0012619888944977284,0.0003593723061470439,0.00022433461915779393,"C 4 Yamuna Vihar Crossing (43 m), Gokul Puri (50 m), c block gokul puri (115 m), C4 Yamuna Vihar Crossing (180 m), C4 Yamuna Vihar Crossing (193 m)"
B R Ambedkar College (Loni Road Xing),28.701534,77.288114,62,62,0.002271580010095911,0.002052991186695463,0.0004579790135528737,"B R Ambedkar College (Loni Road Xing) (38 m), B R Ambedkar College (Loni Road Xing) (48 m), MIG Flats Loni Road (402 m), MIG Flats Loni Road (422 m), MIG Flats Loni Road (438 m)"
