stop_name,stop_lat,stop_lon,Routes Passing,Trips Passing,Degree,Betweenness,Score,Nearby Stops,Nearest Metro,Metro Line,Metro Distance (m),Walking Time (min)
Rani Khera School / Bhagya Vihar,28.709239,77.027741,29,29,0.0025239777889954,0.0023924351728323,0.0005727588697286,"Rani Khera School / Bhagya Vihar (30 m), Mubarakpur Xing (366 m), Mubarak Pur Crossing (375 m), Mubarak Pur Crossing (397 m), Meer Vihar (519 m)",Mundka,Green Line,2983.68,35.81
Mubarakpur School,28.712124,77.034153,8,8,0.0007571933366986,0.0,0.0001029093804932,"Mubarakpur School (23 m), Mubarakpur Dabas (384 m), Mubarakpur Dabas (385 m), Mubarakpur Dabas (408 m), Mubarakpur Xing (573 m)",Mundka,Green Line,3309.09,39.71
D Block Janak Puri (Pankha Road),28.607774,77.10413,31,31,0.0020191822311963,0.0029476168037273,0.0003877919669504,"D Block Janak Puri (Pankha Road) (0 m), D Block Janak Puri (Pankha Road) (10 m), D Block Janakpuri (Pankha Road) (53 m), Nangal Raya DDA Market (232 m), D Block Janak Puri (317 m)",Mohan Nagar,Red Line,249.89,3.0
Central Secretariat Metro Station,28.6150485561242,77.2119888473272,8,8,0.0012619888944977,0.0006232114060978,0.0001890121269827,"Rail Bhawan Metro Station / Krishi Bhawan (15 m), Krishi Bhawan (41 m), Krishi Bhawan / Rail Bhawan Metro Station (43 m), Central Secretariat Metro Station (45 m), Central Secretariat Metro Station (49 m)",Central Secretariat,Yellow Line,96.45,1.16
Delhi Gate,28.637111,77.240928,140,140,0.0050479555779909,0.0064821425373154,0.000609610213578,"Delhi Gate (17 m), Delhi Gate (46 m), Delhi Gate / Ambedkar Stadium (189 m), Delhi Gate (215 m), Shaheed Park (Bhagat Singh Terminal) (226 m)",Delhi Gate,Violet Line,232.36,2.79
Shastri Park GT Road,28.67344112,77.25199488,54,54,0.0025239777889954,0.0008077942456991,0.0003252127010587,"Shastri Park GT Road (4 m), Shastri Park (7 m), Shastri Park (33 m), Shastri Park (Petrol Pump) (192 m), Shastri Park Pusta Road (383 m)",Shastri Park,Red Line,593.16,7.12
Shahstri Park DMRC Depot,28.66699576,77.25296739,5,5,0.000504795557799,0.0,6.363332835846109e-05,"Shastri Park Metro Station (24 m), Shastri Park Metro Station (110 m), Shastri Park Metro Station (Ajit Nagar) (240 m), Bulland Masjid Shastri Park (261 m), Bulland Masjid Shastri Park (277 m)",Shastri Park,Red Line,288.49,3.46
Bawana Sec 5 Cluster Depot,28.8102799,77.07600851,26,26,0.0007571933366986,0.0018538152476948,0.0002166413752264,"Bawana Sec 5 Cluster Depot (58 m), Shiv Mandir Sannoth (287 m), Shiv Mandir Sannoth (302 m), Sannoth Village (760 m), Sannoth Village (768 m)",Samaypur Badli,Yellow Line,9482.69,113.8
Bawana Sec 6 / 7 Crossing,28.81708,77.06213,16,16,0.0010095911155981,0.0005308542505086,0.0001866236904236,"Bawana Sec 6 / 7 Crossing (40 m), Sannoth Xing (292 m), Sannoth Crossing / Ghoga Crossing (307 m), Sannoth Crossing / Ghoga Crossing (314 m), Sannoth Crossing / Ghoga Crossing (335 m)",Samaypur Badli,Yellow Line,10943.92,131.33
CGO Complex,28.587958,77.233541,72,72,0.0037859666834931,0.0037100051708199,0.0006166038434446,"CGO Complex (19 m), Sunehari Pulla Depot / Jawaharlal  Nehru Stadium Terminal (239 m), Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (369 m), Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (400 m), JLN Stadium (Sunehripulla Depot) (444 m)",Jawaharlal Nehru Stadium,Violet Line,507.7,6.09
Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal,28.59155,77.233117,32,32,0.0007571933366986,1.9195913306499606e-05,0.0001045713907299,"Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (35 m), JLN Stadium / Sunehri Pulla Depot (70 m), JLN Stadium (Sunehripulla Depot) (78 m), Sunehari Pulla Depot / Jawaharlal  Nehru Stadium Terminal (162 m), CGO Complex (388 m)",Jawaharlal Nehru Stadium,Violet Line,906.75,10.88
Ishpat Bhawan,28.592517,77.2365,26,26,0.0025239777889954,0.001309084675967,0.0003989540390843,"Ishpat Bhawan (28 m), Lodhi Hotel (337 m), Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (342 m), Sunehari Pulla Depot / Jawahar Lal Nehru Stadium Terminal (348 m), Lodhi Hotel/Shiv Mandir (364 m)",Jawaharlal Nehru Stadium,Violet Line,1053.53,12.64
Police Station Nizamuddin (Dargah),28.591455,77.245072,61,61,0.0015143866733972,0.001550569787236,0.00029143626874,"Police Station Nizamuddin (Dargah) (19 m), Hazarat Nizamuddin (25 m), Nizamuddin Extension (234 m), Nizamuddin Extension (272 m), DPS / Police Station Nizamuddin (Lodhi Road) (360 m)",Jangpura,Violet Line,1056.68,12.68
Nizamuddin Extension,28.589642,77.246307,77,77,0.0030287733467945,0.0024342626471991,0.0004976459274206,"Nizamuddin Extension (41 m), Police Station Nizamuddin (Dargah) (234 m), Hazarat Nizamuddin (232 m), Police Station Nizamuddin (Dargah) (233 m), DPS / Police Station Nizamuddin (Lodhi Road) (578 m)",Jangpura,Violet Line,924.78,11.1
Bhogal (Jungpura),28.584883,77.249733,74,74,0.0020191822311963,0.001991557835968,0.0002993148988496,"Bhogal (Jungpura) (22 m), Bhogal (182 m), P S Nizamuddin (222 m), Bhogal (261 m), Rojdoot Hotel (363 m)",Hazrat Nizamuddin,Pink Line,851.04,10.21
Bhogal,28.583537,77.25079,30,30,0.0015143866733972,2.7229747400089663e-05,0.0001853350026386,"P S Nizamuddin (43 m), Bhogal (80 m), Bhogal (Jungpura) (169 m), Bhogal (Jungpura) (182 m), Rojdoot Hotel (191 m)",Hazrat Nizamuddin,Pink Line,856.16,10.27
Sukhdev Vihar,28.558983,77.273067,4,4,0.000504795557799,0.0019464715172527,0.000145928295267,"Sukh Dev Vihar (43 m), Modi Floor Mills (107 m), jhulena village (107 m), Holy Family Hospital (157 m), Holy Family Hospital (205 m)",Sukhdev Vihar,Magenta Line,198.41,2.38
Holy Family Hospital,28.5608,77.2727,29,29,0.0012619888944977,0.010605606358556,0.0001949039169247,"Holy Family Hospital (53 m), Bharat Nagar Crossing (128 m), Bharat Nagar Crossing (160 m), jhulena village (174 m), Sukhdev Vihar (205 m)",Sukhdev Vihar,Magenta Line,244.86,2.94
Bharat Nagar Crossing,28.5619,77.2723,37,37,0.0017667844522968,0.0106980909454018,0.0003523780256788,"Bharat Nagar Crossing (33 m), Holy Family Hospital (128 m), Holy Family Hospital (180 m), jhulena village (295 m), Sukhdev Vihar (332 m)",Sukhdev Vihar,Magenta Line,348.77,4.19
Bharat Nagar,28.5666,77.269583,41,41,0.0022715800100959,0.0090134248426381,0.0004364017503734,"Bharat Nagar (18 m), Mata Ka Mandir Marg (323 m), Taimur Nagar (544 m), Bharat Nagar Crossing (555 m), Bharat Nagar Crossing (585 m)",Sukhdev Vihar,Magenta Line,920.56,11.05
Taimur Nagar,28.5708,77.2667,16,16,0.0010095911155981,0.002753084876209,0.0001918019712932,"Taimur Nagar (214 m), Meera Bai Polytechnic (431 m), Meera Bai Polytechnic (506 m), Bharat Nagar (536 m), Bharat Nagar (544 m)",Ashram,Pink Line,812.85,9.75
Govt Co-Edu Sr Sec School Sec-22 Dwarka,28.555743,77.055207,11,11,0.0020191822311963,0.0418728707361686,0.0009955411873742,"Govt Co-Edu Sr Sec School Sec-22 Dwarka (21 m), classic Appartment (66 m), Transport Department Dwarka (233 m), Transport Department Dwarka (242 m), Keshav Kunj / Pochan Pur Crossing (246 m)",Dwarka Sector 21,Blue Line,548.43,6.58
Dwarka Sec-21 Metro Station (Road Crossing),28.5540377,77.0578268,8,8,0.0012619888944977,0.0103324956661518,0.0001229512575525,"Dwarka Sec-21 Metro Station (Road Crossing) (23 m), Dwarka Sec-21 Crossing (74 m), Dwarka Sec-21 Crossing (83 m), Dwarka Sec-21 Metro Station (262 m), classic Appartment (255 m)",Dwarka Sector 21,Blue Line,256.76,3.08
Bharat Petrolium (Dwarka Link Road),28.545552,77.061073,13,13,0.0010095911155981,0.0008958334326165,0.0002255687724273,"Bharat Petrolium (Dwarka Link Road) (101 m), Dwarka Road (396 m), Bharthal Under Pass (424 m), Dwarka Road (419 m), Bharthal Under Pass (447 m)",Dwarka Sector 21,Blue Line,735.91,8.83
Puspanjali G Block,28.5426811951804,77.073939843285,48,48,0.0040383644623927,0.0081403641307751,0.0011236936472685,"Puspanjali G Block (60 m), G Block Puspanjali (346 m), Dwarka Road (883 m), Dwarka Road (904 m), Tata Motors Gali No 6 (1196 m)",Indira Gandhi International Airport,Orange Line,1713.64,20.56
Mahipal Pur Village,28.545123,77.127987,37,37,0.0053003533568904,0.018019066390153,0.0009215288102323,"Mahipal Pur Village (134 m), Mahipal Pur Village (138 m), Mahipal Pur Village (394 m), Mahipal Pur Crossing (370 m), Mahipal Pur (401 m)",Delhi Aerocity,Orange Line,812.0,9.74
SecE-2 Pkt 12 Vasant Kunj,28.540177,77.131068,11,11,0.000504795557799,0.0,7.286292114411512e-05,"Sec E Pkt- 2 Vasant Kunj (101 m), Mahipal Pur (237 m), Mahipal Pur Village (241 m), Rang Puri Pahari (567 m), Mahipal Pur Village (626 m)",Delhi Aerocity,Orange Line,1385.97,16.63
Rang Puri Pahari,28.537962,77.137332,42,42,0.0040383644623927,0.0054656892489538,0.0007219474940547,"Rang Puri Pahari (71 m), Rang Puri Pahari (100 m), Vasant Kunj Enclave B Block (167 m), Vasant Kunj Sec-C8 (290 m), Vasant Kunj Sec-C80 (301 m)",Shankar Vihar,Magenta Line,2170.61,26.05
Masood Pur Village,28.525407,77.154654,39,39,0.0015143866733972,0.0044887119253966,0.0004360904277357,"Masood Pur Village (12 m), Goenka public School (332 m), Goenka Public School (336 m), Vasant Kunj Sec-B73 (413 m), B-8 Vasant Kunj (453 m)",Chhatarpur,Yellow Line,2873.1,34.48
